,Best Order,MSE,RMSE,MAE
HACK_IGV,"(1, 1, 1)",51.76622965340964,7.194875235430399,5.616027089265061
FTC_ONEQ,"(1, 1, 1)",344.9612398001069,18.57313220219215,15.818080507853319
FTC_QQQE,"(1, 1, 1)",344.9612398001069,18.57313220219215,15.818080507853319
MTUM_XT,"(1, 1, 1)",1404.215028506847,37.472857223687214,34.5422345792255
NULG_QQEW,"(1, 1, 1)",52.119382477197504,7.219375490802339,6.1119127584434825
NULG_QQQE,"(1, 1, 1)",26.86935854570003,5.183566199606216,4.374498925985644
ONEQ_QQEW,"(1, 1, 1)",52.119382477197504,7.219375490802339,6.1119127584434825
ONEQ_QQQE,"(1, 1, 1)",108.32585684096887,10.407970832057941,8.925804473996383
FTEC_IXN,"(1, 1, 2)",675.5718147866669,25.99176436463417,22.16151839411348
IXN_IYW,"(1, 1, 1)",134.97088311416954,11.617696979787755,10.269492438979452
IXN_QQQ,"(1, 1, 2)",4239.340646834227,65.1102192196757,56.41288098673582
IXN_VGT,"(1, 1, 1)",7559.576835683686,86.9458270170782,74.05428494177806
IEFA_PIN,"(2, 1, 2)",19.798966793126404,4.449602992754118,3.8646514417386735
PIN_TLTD,"(2, 1, 2)",16.868253793934922,4.10709797715308,3.582788321850413
FTXL_SOXX,"(1, 1, 2)",112.74322834191977,10.618061421084349,9.087002343416549
