,Index,Cluster
0,ARKK,0
1,ARKQ,0
2,ARKW,0
3,CIBR,0
4,CQQQ,0
5,CWEB,0
6,FDN,0
7,FTC,0
8,FTEC,0
9,FTXL,0
10,FXI,0
11,FXL,0
12,FXP,0
13,FYC,0
14,GAMR,0
15,HACK,0
16,IDLV,0
17,IDX,0
18,IEFA,0
19,IGM,3
20,IGV,0
21,IPAY,4
22,ISMD,0
23,ISRA,0
24,ITEQ,3
25,IXN,0
26,IYW,0
27,KWEB,0
28,MTUM,3
29,NULG,3
30,NUMG,1
31,NXTG,1
32,ONEQ,1
33,PIN,1
34,PIZ,1
35,PNQI,1
36,PRNT,1
37,PSCT,1
38,PSI,1
39,PTF,2
40,QQEW,2
41,QQQ,2
42,QQQE,2
43,QQXT,2
44,QTEC,0
45,QYLD,2
46,REW,2
47,ROM,0
48,SKYY,0
49,SMH,0
50,SNSR,0
51,SOXL,0
52,SOXS,3
53,SOXX,3
54,SUSA,0
55,TDIV,0
56,TECL,3
57,TECS,3
58,TLTD,3
59,TLTE,1
60,TQQQ,1
61,USD,1
62,VGT,1
63,VV,1
64,XITK,1
65,XLK,1
66,XNTK,1
67,XSD,1
68,XSW,1
69,XT,2
